"Privacy and Cookie Policy","Política de privacidad y cookies"
"Search Term","Teminos de busqueda"
"Advanced Search", "Terminos de busqueda avanzada"
"Orders and Returns,"Ordenes y Devoluciones"
"Contact Us","Contactanos"
"Sign Up for Our Newsletter:","Inicia sesión para nuestro boletín:"
"Enter your email address","Agrega tu correo electrónico"
Subscribe,Suscribete
Results,Resultados
Uses,Usos
"Search Terms","Terminos de busqueda"
"Search Synonyms","Busqueda Sincrona"
"New Synonym Group","Nuevo grupo de sinonimo"
Back,Regresar
"Delete Synonym Group","Eliminar el sinonimo de grupo"
"Are you sure you want to delete this synonym group?","¿Estas seguro en eliminar este grupo de sinonimos?"
Reset,Reiniciar
"Save and Continue Edit","Guardar y continuar editando"
"Save Synonym Group","Guardar sinonimo de grupo"
Search,Busqueda
"Add New Search Term","Agregar nuevo termino de grupo"
"Save Search","Guardar busqueda"
"Delete Search","Eliminar busqueda"
"Edit Search '%1'","Editar busqueda '%1'"
"New Search","Nueva busqueda"
"Search Information","Buscar información"
"General Information","Información General"
No,No
Yes,Si
"Search Query","Consulta de busqueda"
Store,Tienda
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Última vez colocado)"
"For the last time placed.","Por ultima vez colocados"
"Number of Uses","Número de usos"
"Redirect URL","Redireccionar URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Mostrar sugerencia en terminos"
"The synonym group has been deleted.","El grupo de sinonimos ha sido eliminado"
"An error was encountered while performing delete operation.","Se encontró un error al realizar la operación de eliminación."
"We can't find a synonym group to delete.","No podemos encontrar un grupo de sinónimos para eliminar."
"This synonyms group no longer exists.","Este grupo de sinónimos ya no existe."
"Edit Synonym Group","Editar grupo de sinónimos"
"Synonym Group","Groupo de sinonimos"
"Failed to delete %1 synonym group(s).","No se pudo eliminar %1 grupo(s) de sinónimos."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
Marketing,Marketing
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","El motor de búsqueda %1 no admite sinónimos de búsqueda. No se utilizarán los sinónimos que introduzca."
"This synonym group no longer exists.","Este grupo de sinónimos ya no existe."
"You saved the synonym group.","Has guardado el grupo de sinonimos."
